scheme_id,source_id,source_type,source_url
S001,S001-SRC001,Guideline/Reference PDF,https://msme.gov.in/sites/default/files/Revised_Operation_Guidelines_of_CVY.pdf
S001,S001-SRC002,Official/Referenced,http://coirboard.gov.in/?page_id=221
S001,S001-SRC003,Official/Referenced,http://coirboard.gov.in/?page_id=8452
S001,S001-SRC004,Guideline/Reference PDF,https://msme.gov.in/sites/default/files/Coir-Vikas-YojanaContents.pdf
S001,S001-SRC005,Guideline/Reference PDF,http://coirboard.gov.in/wp-content/uploads/2018/03/coir-final.pdf
S002,S002-SRC001,Official/Referenced,https://www.arunachalplan.gov.in/arunachal-pradesh-entrepreneurship-development-programme/
S002,S002-SRC002,Guideline/Reference PDF,https://www.startupindia.gov.in/srf-2022/reports1/Arunachal_Pradesh_State_Report_07-06-2022.pdf
S003,S003-SRC001,Guideline/Reference PDF,https://bocwscheme.bihar.gov.in/bihar/assets/images/scheme.pdf
S003,S003-SRC002,Official/Referenced,https://bocwscheme.bihar.gov.in/worker_reg
S003,S003-SRC003,Official/Referenced,https://bocwscheme.bihar.gov.in/worker_login
S003,S003-SRC004,Official/Referenced,https://bocwscheme.bihar.gov.in/home
S004,S004-SRC001,Guideline/Reference PDF,https://tourism.gov.in/sites/default/files/2020-06/ENTREPRENEURSHIP%20PROG%20%20GUIDELINES%20%281%29.pdf
S004,S004-SRC002,Guideline/Reference PDF,https://tourism.gov.in/sites/default/files/2021-12/CBSP%20as%20on%201507%20%281%29.pdf
S004,S004-SRC003,Official/Referenced,https://ihmahmedabad.com/the-institute/admission-procedure
S005,S005-SRC001,Guideline/Reference PDF,https://www.texmin.gov.in/static/uploads/2025/06/b0a2771b640f5c2b036de284db0a3e57.pdf
S005,S005-SRC002,Official/Referenced,https://www.texmin.gov.in/offerings/schemes-and-services/details/technology-upgradation-fund-scheme-kDO1MTMtQWa
S006,S006-SRC001,Official/Referenced,https://shramadhan.jharkhand.gov.in/schemmeDetailsShow.action
S006,S006-SRC002,Guideline/Reference PDF,https://shramadhan.jharkhand.gov.in/ftp/WebAdmin/documents/BOC_SCHEME_BENEFIT_APPLICANT_SIDE.pdf
S006,S006-SRC003,Guideline/Reference PDF,https://shramadhan.jharkhand.gov.in/ftp/WebAdmin/documents/labourcontactdetails.pdf
S007,S007-SRC001,Official/Referenced,https://labour.rajasthan.gov.in/Schemes.aspx#
S008,S008-SRC001,Guideline/Reference PDF,https://artnculturemanipur.gov.in/media/filer_public/77/18/771853bc-9222-4c87-90db-c082867788bf/application_form_for_training_with_new_production.pdf
S009,S009-SRC001,Guideline/Reference PDF,https://ahvdd.arunachal.gov.in/pdf/eBook/Government%20Scheme%20Handbook.pdf
S009,S009-SRC002,Official/Referenced,https://skillarunachal.nic.in//UserPortal/Home.aspx
S010,S010-SRC001,Official/Referenced,https://doah.gujarat.gov.in/subsidy-schemes-poultry.htm
S010,S010-SRC002,Guideline/Reference PDF,https://doah.gujarat.gov.in/Images/animalhusbandary/pdf/4-po-eng-1818.pdf
S011,S011-SRC001,Official/Referenced,https://www.education.gov.in/technical-education-13
S011,S011-SRC002,Official/Referenced,https://nats.education.gov.in/student_register.php
S011,S011-SRC003,Guideline/Reference PDF,https://nats.education.gov.in/assets/manual/student_manual.pdf
S011,S011-SRC004,Official/Referenced,https://nats.education.gov.in/contact-us.php
S012,S012-SRC001,Official/Referenced,https://socwelfare.py.gov.in/home-visually-challenged-person-puducherry
S012,S012-SRC002,Guideline/Reference PDF,https://socwelfare.py.gov.in/sites/default/files/citizen-charter.pdf
S012,S012-SRC003,Official/Referenced,https://socwelfare.py.gov.in/contact-us
S012,S012-SRC004,Official/Referenced,https://socwelfare.py.gov.in/sub--office-social-welfare-department
S012,S012-SRC005,Official/Referenced,https://pgportal.gov.in/
S013,S013-SRC001,Guideline/Reference PDF,https://jankalyanfile.rajasthan.gov.in/Content/UploadFolder/Scheme/LAB_/SSY/DOC_221_3508d3ec-1148-4bd3-a9c9-612934bad740.pdf
S013,S013-SRC002,Official/Referenced,https://sso.rajasthan.gov.in/register
S013,S013-SRC003,Official/Referenced,https://sso.rajasthan.gov.in/signin
S014,S014-SRC001,Official/Referenced,https://dic.py.gov.in/training
S014,S014-SRC002,Guideline/Reference PDF,https://dic.py.gov.in/sites/default/files/inplant.pdf
S014,S014-SRC003,Official/Referenced,https://dic.py.gov.in/contact-us
S015,S015-SRC001,Official/Referenced,https://labour.and.nic.in/webPages/welfareboard.html
S015,S015-SRC002,Official/Referenced,https://serviceonline.gov.in/
S015,S015-SRC003,Guideline/Reference PDF,https://labour.and.nic.in/webPages/forms/welfareboard.pdf
S015,S015-SRC004,Guideline/Reference PDF,https://labour.and.nic.in/webPages/forms/skill.pdf
S016,S016-SRC001,Guideline/Reference PDF,https://labour.py.gov.in/sites/default/files/citizens-charter-2020.pdf
S017,S017-SRC001,Official/Referenced,http://sjd.kerala.gov.in/scheme-info.php?scheme_id=MTQ4c1Y4dXFSI3Z5
S017,S017-SRC002,Guideline/Reference PDF,http://sjd.kerala.gov.in/DOCUMENTS/Downloadables/Application%20Forms/27306.pdf
S018,S018-SRC001,Guideline/Reference PDF,https://socwelfare.py.gov.in/sites/default/files/citizen-charter.pdf
S018,S018-SRC002,Official/Referenced,https://socwelfare.py.gov.in/contact-us
S018,S018-SRC003,Official/Referenced,https://socwelfare.py.gov.in/sub--office-social-welfare-department
S018,S018-SRC004,Official/Referenced,https://pgportal.gov.in/
S019,S019-SRC001,Guideline/Reference PDF,https://bocwscheme.bihar.gov.in/bihar/assets/images/scheme.pdf
S019,S019-SRC002,Official/Referenced,https://bocwscheme.bihar.gov.in/worker_reg
S019,S019-SRC003,Official/Referenced,https://bocwscheme.bihar.gov.in/worker_login
S019,S019-SRC004,Official/Referenced,https://bocwscheme.bihar.gov.in/home
S020,S020-SRC001,Official/Referenced,https://ipowertexindia.gov.in/group-workshed-scheme.htm
S021,S021-SRC001,Official/Referenced,https://socwelfare.py.gov.in/issue-free-bus-pass-differently-abled-person
S021,S021-SRC002,Guideline/Reference PDF,https://socwelfare.py.gov.in/sites/default/files/citizen-charter.pdf
S021,S021-SRC003,Guideline/Reference PDF,https://socwelfare.py.gov.in/sites/default/files/free-bus-pass-differently-abled-persons.pdf
S021,S021-SRC004,Official/Referenced,https://socwelfare.py.gov.in/contact-us
S021,S021-SRC005,Official/Referenced,https://socwelfare.py.gov.in/sub--office-social-welfare-department
S021,S021-SRC006,Official/Referenced,https://pgportal.gov.in/
S021,S021-SRC007,Official/Referenced,https://edistrict.py.gov.in/User/TrackApplication.aspx
S022,S022-SRC001,Guideline/Reference PDF,https://py.gov.in/sites/default/files/citizens-charterinfopublicity.pdf
S023,S023-SRC001,Official/Referenced,https://tourism.gov.in/prashad-scheme
S023,S023-SRC002,Guideline/Reference PDF,https://tourism.gov.in/sites/default/files/2023-08/PRASHAD%2015th%20FC%20Scheme%20Guidelines.pdf
S024,S024-SRC001,Official/Referenced,https://bocw.delhi.gov.in/bocw/welfare-schemes
S024,S024-SRC002,Official/Referenced,https://dbocwwb.delhi.gov.in/welfareschemedboc.html
S024,S024-SRC003,Official/Referenced,https://drive.google.com/file/d/1nCDEvvl3saMAKnR__iYZNbc_MnuwQ0E1/view
S024,S024-SRC004,Official/Referenced,https://dbocwwb.delhi.gov.in/faqdboc.html#faqm2q1
S024,S024-SRC005,Guideline/Reference PDF,https://bocw.delhi.gov.in/sites/default/files/bocw/circulars-orders/delhi_gazette_notification_of_delhi_building_and_other_construction_workers_welfare_board_on_04-03-2016.pdf
S025,S025-SRC001,Guideline/Reference PDF,https://state.bihar.gov.in/cache/16/Smart%20City/Mukhyamantri%20Gram%20Parivahan%20Yojana/8803-23-11-23.pdf
S025,S025-SRC002,Official/Referenced,https://state.bihar.gov.in/transport/CitizenHome.html
S026,S026-SRC001,Official/Referenced,https://www.tn.gov.in/scheme/data_view/3573
S027,S027-SRC001,Guideline/Reference PDF,https://handicrafts.nic.in/pdf/scheme.pdf
S027,S027-SRC002,Guideline/Reference PDF,https://handicrafts.nic.in/CmsUpload/063820251038251_2_merged.pdf?utm_source=chatgpt.com
S028,S028-SRC001,Guideline/Reference PDF,https://solarrooftop.gov.in/notification/145_notification.pdf
S028,S028-SRC002,Official/Referenced,http://solarrooftop.gov.in/
S028,S028-SRC003,Guideline/Reference PDF,https://solarrooftop.gov.in/pdf/np_application_process.pdf
S028,S028-SRC004,Official/Referenced,https://solarrooftop.gov.in/grid_others/discomPortalLink
S028,S028-SRC005,Guideline/Reference PDF,https://solarrooftop.gov.in/pdf/FAQ_np_revised.pdf
S028,S028-SRC006,Official/Referenced,https://solarrooftop.gov.in/customer/apply/grievanceRedressal
S028,S028-SRC007,Official/Referenced,https://solarrooftop.gov.in/consumerRegistration
S029,S029-SRC001,Official/Referenced,https://socwelfare.py.gov.in/annual-tour-differently-abled-persons
S029,S029-SRC002,Guideline/Reference PDF,https://socwelfare.py.gov.in/sites/default/files/citizen-charter.pdf
S029,S029-SRC003,Official/Referenced,https://socwelfare.py.gov.in/contact-us
S029,S029-SRC004,Official/Referenced,https://socwelfare.py.gov.in/sub--office-social-welfare-department
S029,S029-SRC005,Official/Referenced,https://pgportal.gov.in/
S030,S030-SRC001,Official/Referenced,https://gecs.heavyindustries.gov.in/assets/site/main/DHIGECS_procedure_\(Revised\
S030,S030-SRC002,Guideline/Reference PDF,https://gecs.heavyindustries.gov.in/assets/site/main/User_Manual_New.pdf
S030,S030-SRC003,Guideline/Reference PDF,https://gecs.heavyindustries.gov.in/assets/site/main/FAQS.pdf
S030,S030-SRC004,Official/Referenced,https://gecs.heavyindustries.gov.in/home/contactUs
S030,S030-SRC005,Official/Referenced,https://gecs.heavyindustries.gov.in/home/allOnlineGSTConcessionApprovedApplicant
S031,S031-SRC001,Guideline/Reference PDF,https://www.goa.gov.in/wp-content/uploads/2018/05/Schemes.pdf
S031,S031-SRC002,Guideline/Reference PDF,https://startup.goa.gov.in/Incentives/IncubatorGrantScheme.pdf
S031,S031-SRC003,Official/Referenced,https://www.startup.goa.gov.in/StartupIncentives#GrantforIncubationCenterswithinEducationalInstitutesScheme
S032,S032-SRC001,Guideline/Reference PDF,https://fisheries.py.gov.in/sites/default/files/shore-based-facilities.pdf
S032,S032-SRC002,Guideline/Reference PDF,https://fisheries.py.gov.in/sites/default/files/subsidies-application007.pdf
S032,S032-SRC003,Official/Referenced,https://fisheries.py.gov.in/sub-offices
S032,S032-SRC004,Official/Referenced,https://fisheries.py.gov.in/contact-us
S033,S033-SRC001,Guideline/Reference PDF,https://www.scd.tn.gov.in/pdf/schemes/pdf/TRAVEL%20CONCESSION%20TO%20THE%20DIFFERENTLY%20%20ABLED%20%20PERSONS%20%20%20IN.pdf
S034,S034-SRC001,Guideline/Reference PDF,https://www.ugc.gov.in/pdfnews/1555717_guidelines-SWAMI-Vivekananda.pdf
S034,S034-SRC002,Official/Referenced,https://www.indiascienceandtechnology.gov.in/nurturing-minds/scholarships/phd/swami-vivekananda-single-girl-child-scholarship-research-social
S035,S035-SRC001,Official/Referenced,http://sjd.kerala.gov.in/scheme-info.php?scheme_id=NzJzVjh1cVIjdnk=
S035,S035-SRC002,Guideline/Reference PDF,http://sjd.kerala.gov.in/DOCUMENTS/Downloadables/Application%20Forms/11673.pdf
S035,S035-SRC003,Guideline/Reference PDF,http://sjd.kerala.gov.in/DOCUMENTS/Order_new/GOs/11674.pdf
S036,S036-SRC001,Guideline/Reference PDF,https://icar.org.in/sites/default/files/Circulars/Guidelines%20for%20ICAR-Post%20Matric%20Scholarship.pdf
S037,S037-SRC001,Official/Referenced,https://dte.maharashtra.gov.in/foreign-scholarship-2022-m
S037,S037-SRC002,myScheme,https://www.myscheme.gov.in/schemes/www.dtemaharashtra.gov.in
S037,S037-SRC003,Guideline/Reference PDF,https://foreignscholarship2022.dtemaharashtra.gov.in/UploadedOfficeDOC/FAQ_2022_23.pdf
S038,S038-SRC001,Guideline/Reference PDF,https://jankalyanfile.rajasthan.gov.in//Content/UploadFolder/Scheme/TAD/EHSTGS/DOC_610_7e011725-b752-436c-99cd-876dd77a9ac5.pdf
S038,S038-SRC002,Official/Referenced,https://schemes.rajasthan.gov.in/scheme/detail/610
S038,S038-SRC003,Guideline/Reference PDF,https://tad.rajasthan.gov.in/writereaddata/FilesManagement/PDF/09232022172344PMIncentive%20Scheme%20Help.pdf
S039,S039-SRC001,Guideline/Reference PDF,https://sjsa.maharashtra.gov.in/sites/default/files/vjntscheme/eng/2-07.pdf
S039,S039-SRC002,Official/Referenced,https://mahadbt.maharashtra.gov.in/home/flow
S039,S039-SRC003,Official/Referenced,https://mahadbt.maharashtra.gov.in/Grievance/Grievance
S039,S039-SRC004,Guideline/Reference PDF,https://mahadbt.maharashtra.gov.in/PDF/Aaple%20Sarkar%20DBT%20Portal%20Help%20file.pdf
