scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S006,S006-E001,,residency,INFORMATION,The applicant should be domiciled in the state of Jharkhand.,The applicant should be domiciled in the state of Jharkhand.
S006,S006-E002,,age,RANGE,18-60 years,The applicant should be in the age group of 18-60 years.
S006,S006-E003,,occupation_or_beneficiary_type,INFORMATION,The applicant should be a registered Construction Worker (Nirmaan Shramik) or a Member of the 'Jharkhand Building and Other Construction Worker Welfare Board (JBOCWW Board)'.,The applicant should be a registered Construction Worker (Nirmaan Shramik) or a Member of the 'Jharkhand Building and Other Construction Worker Welfare Board (JBOCWW Board)'.
S006,S006-E004,,age,INFORMATION,"The applicant should be engaged in construction work such as masons, carpenters, electricians, porters, painters, etc.","The applicant should be engaged in construction work such as masons, carpenters, electricians, porters, painters, etc."
S006,S006-E005,,special_condition,INFORMATION,The applicant should have worked for at least 90 days.,The applicant should have worked for at least 90 days.
S006,S006-E006,,prior_benefit,INFORMATION,The applicant should not already have availed of the benefits of this scheme.,The applicant should not already have availed of the benefits of this scheme.
S026,S026-E001,,residency,INFORMATION,The beneficiary should be a resident of Tamil Nadu.,The beneficiary should be a resident of Tamil Nadu.
S026,S026-E002,,special_condition,INFORMATION,The beneficiary should be a Small Road Transport Operator.,The beneficiary should be a Small Road Transport Operator.
S027,S027-E001,,special_condition,INFORMATION,"Eligible Local statutory bodies, Apex Cooperative Societies, and National level Apex Societies (registered under the Society Act/Trust Act, etc.) ","Eligible Local statutory bodies, Apex Cooperative Societies, and National level Apex Societies (registered under the Society Act/Trust Act, etc.) "
S027,S027-E002,,special_condition,INFORMATION,Producer Company supported by O/O DC Handicrafts.,Producer Company supported by O/O DC Handicrafts.
S027,S027-E003,,age,INFORMATION,"Only implementing agencies with a minimum audited annual turnover of Rs. 1.5 Cr in the last three consecutive years will be eligible for implementation of infrastructure projects. However, this provision shall not be applied in the case of Central/State or state government agencies as an Implementing Agency (IA).","Only implementing agencies with a minimum audited annual turnover of Rs. 1.5 Cr in the last three consecutive years will be eligible for implementation of infrastructure projects. However, this provision shall not be applied in the case of Central/State or state government agencies as an Implementing Agency (IA)."
S028,S028-E001,,residency,INFORMATION,Residential consumers and Group Housing Society can apply for the installation of a solar rooftop system.,Residential consumers and Group Housing Society can apply for the installation of a solar rooftop system.
S028,S028-E002,,special_condition,INFORMATION,"If you have electricity connection in your name and you pay regularly the electricity bill in your own name and also you have the permission of use the roof for solar rooftop installation from the owner, you can install the RTS.","If you have electricity connection in your name and you pay regularly the electricity bill in your own name and also you have the permission of use the roof for solar rooftop installation from the owner, you can install the RTS."
S029,S029-E001,,residency,INFORMATION,The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years.,The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years.
S029,S029-E002,,income,<=,"₹ 75,000","The annual income of the applicant should not exceed ₹ 75,000/-."
S029,S029-E003,,special_status,INFORMATION,The applicant should have a disability of 40% or above.,The applicant should have a disability of 40% or above.
S029,S029-E004,,special_condition,INFORMATION,The applicant should not have performed the tour for the past ten years.,The applicant should not have performed the tour for the past ten years.
S029,S029-E005,,special_condition,INFORMATION,The applicant should not be affected by any contagious diseases.,The applicant should not be affected by any contagious diseases.
S029,S029-E006,,special_condition,INFORMATION,The applicants may apply to this scheme only after the issue of notification in the local newspapers.,The applicants may apply to this scheme only after the issue of notification in the local newspapers.
S029,S029-E007,,age,RANGE,18-50 years,The age of the applicant should be between 18 and 50 years.
S029,S029-E008,,special_condition,INFORMATION,The applicant should not be a Government Servant.,The applicant should not be a Government Servant.
S029,S029-E009,,special_condition,INFORMATION,The parents of the applicant should not be a Government servant.,The parents of the applicant should not be a Government servant.
S029,S029-E010,,special_condition,INFORMATION,The applicant should have registered his/her name in the Anganwadi Centre.,The applicant should have registered his/her name in the Anganwadi Centre.
S030,S030-E001,,special_status,INFORMATION,"Any Orthopedic Physically handicapped person having a permanent disability of 40% & above can apply for the benefit under the scheme, irrespective of whether the applicant drives the vehicle himself or otherwise.","Any Orthopedic Physically handicapped person having a permanent disability of 40% & above can apply for the benefit under the scheme, irrespective of whether the applicant drives the vehicle himself or otherwise."
S030,S030-E002,,special_condition,INFORMATION,"Cars (automatic or manual) having a length less than or equal to 4m and engine capacity of not more than 1200 cc (petrol, Liquefied Petroleum Gases (LPG) or compressed natural gas (CNG) or 1500 cc (diesel) qualify for purchase under this scheme.","Cars (automatic or manual) having a length less than or equal to 4m and engine capacity of not more than 1200 cc (petrol, Liquefied Petroleum Gases (LPG) or compressed natural gas (CNG) or 1500 cc (diesel) qualify for purchase under this scheme."
S030,S030-E003,,special_condition,INFORMATION,The said Certificate for availing the GST concession would be valid for a period of three months from the date of issue of the certificate and the vehicle would have to be purchased by the applicant within this three-month period to avail the concession.,The said Certificate for availing the GST concession would be valid for a period of three months from the date of issue of the certificate and the vehicle would have to be purchased by the applicant within this three-month period to avail the concession.
S031,S031-E001,,education,INFORMATION,"All the educational institutes in Goa, affiliated with a recognized public university are eligible to apply for this scheme.","All the educational institutes in Goa, affiliated with a recognized public university are eligible to apply for this scheme."
S032,S032-E001,,gender,INFORMATION,The applicant should be a Private Sector/Fishermen/Fisherwomen Cooperative Societies/Fishermen /Entrepreneurs.,The applicant should be a Private Sector/Fishermen/Fisherwomen Cooperative Societies/Fishermen /Entrepreneurs.
S032,S032-E002,,special_condition,INFORMATION,The applicant should be between 18 to 50 years old.,The applicant should be between 18 to 50 years old.
S032,S032-E003,,asset_or_financial_condition,INFORMATION,The applicant should not have availed any benefit of loan/subsidy from any other source for the intended purpose.,The applicant should not have availed any benefit of loan/subsidy from any other source for the intended purpose.
S033,S033-E001,,special_condition,INFORMATION,The Applicant should be a Differently abled person.,The Applicant should be a Differently abled person.
S034,S034-E001,,gender,INFORMATION,"1\. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme.","1\. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme."
S034,S034-E002,,gender,INFORMATION,"2\. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:","2\. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:"
S034,S034-E003,,education,INFORMATION,"Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956.","Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956."
S034,S034-E004,,special_condition,INFORMATION,Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC.,Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC.
S034,S034-E005,,residency,INFORMATION,Universities/Colleges/Institutes funded by Central/ State Govt.,Universities/Colleges/Institutes funded by Central/ State Govt.
S034,S034-E006,,special_condition,INFORMATION,Institutes of National Importance.,Institutes of National Importance.
S034,S034-E007,,education,INFORMATION,3\. Admission to Ph.D. Course in Distance education mode is not covered under the scheme.,3\. Admission to Ph.D. Course in Distance education mode is not covered under the scheme.
S034,S034-E008,,age,INFORMATION,4\. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.,4\. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.
S034,S034-E009,,gender,INFORMATION,5\. Transgender candidates are eligible to apply under the scheme as per the norms.,5\. Transgender candidates are eligible to apply under the scheme as per the norms.
S035,S035-E001,,gender,INFORMATION,1\.	Applicant should be Transgender.,1\.	Applicant should be Transgender.
S035,S035-E002,,residency,INFORMATION,2\.	Applicant should be a resident of Kerala.,2\.	Applicant should be a resident of Kerala.
S035,S035-E003,,residency,INFORMATION,3\.	Applicant should be a student and studying in State Government/ Government aided/ Self Financing schools/colleges.,3\.	Applicant should be a student and studying in State Government/ Government aided/ Self Financing schools/colleges.
S035,S035-E004,,education,INFORMATION,4\.	The applicant should be studying in 7th Class to Diploma/Degree/PG Level.,4\.	The applicant should be studying in 7th Class to Diploma/Degree/PG Level.
S035,S035-E005,,income,NO_LIMIT,No income limit,5\.	There is no income limit.
S036,S036-E001,,special_condition,INFORMATION,The applicant must be a citizen of India.,The applicant must be a citizen of India.
S036,S036-E002,,social_category,INFORMATION,The applicant must belong to Scheduled Castes / Scheduled Tribes communities as defined by the Government of India.,The applicant must belong to Scheduled Castes / Scheduled Tribes communities as defined by the Government of India.
S036,S036-E003,,education,INFORMATION,Only those students who have been admitted in Agricultural Universities in any of the undergraduate degree programmes of Agriculture & Allied Sciences will be eligible for this scholarship.,Only those students who have been admitted in Agricultural Universities in any of the undergraduate degree programmes of Agriculture & Allied Sciences will be eligible for this scholarship.
S036,S036-E004,,special_condition,INFORMATION,General Condition:***,General Condition:***
S036,S036-E005,,age,INFORMATION,(a) The student who accepts this scholarship will not be permitted to avail any other scholarship / concession provided by any other agencies nor permitted to accept any part-time employment.,(a) The student who accepts this scholarship will not be permitted to avail any other scholarship / concession provided by any other agencies nor permitted to accept any part-time employment.
S036,S036-E006,,prior_benefit,INFORMATION,(b) Termination of Scholarship: The scholarship will be terminated without notice,(b) Termination of Scholarship: The scholarship will be terminated without notice
S036,S036-E007,,occupation_or_beneficiary_type,INFORMATION,(i) from the date the scholar debases to be on the roll of the institution or on the date of expiry of the sanction of the scholarship which ever is earlier. The scholarship can also be terminated without notice at any time if in the opinion of the institution and the Council the scholar is found to be negligent in his/her studies or is guilty of misconduct;,(i) from the date the scholar debases to be on the roll of the institution or on the date of expiry of the sanction of the scholarship which ever is earlier. The scholarship can also be terminated without notice at any time if in the opinion of the institution and the Council the scholar is found to be negligent in his/her studies or is guilty of misconduct;
S036,S036-E008,,occupation_or_beneficiary_type,INFORMATION,(ii) if the scholar is dropped by the institution due to peer performance.,(ii) if the scholar is dropped by the institution due to peer performance.
S037,S037-E001,,residency,INFORMATION,The candidate and the candidate's mother/father or guardian should be citizens of India and residents of the state of Maharashtra.,The candidate and the candidate's mother/father or guardian should be citizens of India and residents of the state of Maharashtra.
S037,S037-E002,,social_category,INFORMATION,This scheme is applicable to the students from the open/unreserved category.,This scheme is applicable to the students from the open/unreserved category.
S037,S037-E003,,social_category,INFORMATION,Students from the reserved category who wish to apply from the open category are eligible to apply for the scholarships.,Students from the reserved category who wish to apply from the open category are eligible to apply for the scholarships.
